Timestamp,number_of_phones,operating_system,price_range,brand_of_phone,change_of_phone_after,use,mobile_operator,important_criteria,charge_phone_frequency,payment_method,outlet,app,app_service,check_ratings_ol,second_hand_ol,access_ol,better_offline_buy,local_or_retail,store_service,check_ratings_of,second_hand_of,access_of,better_online_buy
2/26/2021 13:39:04,1,Android,"10,000 - 20,000",Vivo,1,"Call, SMS, Social Media, Music",Vi,Camera,Once a day,Cash,Online,Flipkart,Yes,Yes,Yes,Yes,Yes,,,,,,
2/26/2021 13:39:04,1,Android,"10,000 - 20,000",Xiaomi,1,"Call, SMS, Social Media, Music",Vi,Camera,Once a day,Cash,Online,Flipkart,Yes,Yes,Yes,Yes,Yes,,,,,,
2/26/2021 13:39:04,1,Android,"10,000 - 20,000",OnePlus,1,"Call, SMS, Social Media, Music",Vi,Camera,Once a day,Cash,Online,Flipkart,Yes,Yes,Yes,Yes,Yes,,,,,,
2/26/2021 13:42:17,1,Android,"20,000 - 40,000",Samsung,1,"Call, Social Media, Music",Jio,Brand,Once a day,Cash,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,Yes
2/26/2021 13:48:19,1,iOS,"20,000 - 40,000",Apple,After 5 years,"Call, Social Media, Music",Vi,Specifications,Twice a day,UPI,Online,Amazon,Yes,Yes,Yes,Yes,Yes,,,,,,
2/26/2021 13:48:19,1,Android,"20,000 - 40,000",Samsung,After 5 years,"Call, Social Media, Music",Vi,Specifications,Twice a day,UPI,Online,Amazon,Yes,Yes,Yes,Yes,Yes,,,,,,
2/26/2021 13:49:06,1,Android,"10,000 - 20,000",Xiaomi,3-4 years,"Call, SMS, Social Media, Music",Airtel,Specifications,Once a day,Debit Card/ Credit Card,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,Yes,Yes,Yes
2/26/2021 13:52:45,1,Android,"10,000 - 20,000",Xiaomi,2 years,"Call, Social Media, Music",Vi,Value for money,Once a day,Debit Card/ Credit Card,Online,Amazon,Yes,Yes,No,No,Yes,,,,,,
2/26/2021 13:55:11,1,Android,"10,000 - 20,000",Samsung,Until it stops working,"Call, Social Media, Music",Jio,Brand,More than twice a day,Net Banking,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,Maybe
2/26/2021 13:55:16,3,iOS,"10,000 - 20,000",Apple,1,"Call, SMS, Social Media, Music",Vi,Design,Once a day,Debit Card/ Credit Card,Online,Amazon,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 13:55:16,3,Android,"10,000 - 20,000",OnePlus,1,"Call, SMS, Social Media, Music",Vi,Design,Once a day,Debit Card/ Credit Card,Online,Amazon,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 13:55:16,3,Android,"10,000 - 20,000",Xiaomi,1,"Call, SMS, Social Media, Music",Vi,Design,Once a day,Debit Card/ Credit Card,Online,Amazon,Yes,Yes,No,Yes,Yes,,,,,,
2/26/2021 14:00:57,1,iOS,"More than 40,000",Apple,About 2 years,"Call, SMS, Social Media, Music, Work ",Vi,Price,Once a day,UPI,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,Yes
2/26/2021 14:16:14,1,Android,"10,000 - 20,000",Samsung,2½ years,"SMS, Music, Entertainment",Jio,Specifications,Once a day,UPI,Nearest store to me,,,,,,,Retail chain store,Yes,Yes,No,Yes,Maybe
2/26/2021 14:17:03,1,Android,"20,000 - 40,000",OnePlus,Only if it is damaged ,"Call, SMS, Social Media, Music",Jio,Camera,Once a day,Cash,Nearest store to me,,,,,,,Local,Yes,Yes,No,Yes,No
2/26/2021 14:27:59,More,Android,"10,000 - 20,000",Samsung,1,Social Media,Jio,Specifications,Once a day,Debit Card/ Credit Card,Shopping malls,,,,,,,Retail chain store,Yes,Yes,No,No,Yes
2/26/2021 14:27:59,More,Android,"10,000 - 20,000",OnePlus,1,Social Media,Jio,Specifications,Once a day,Debit Card/ Credit Card,Shopping malls,,,,,,,Retail chain store,Yes,Yes,No,No,Yes
